graduatedFrom	0
hasOfficialLanguage	1
hasChild	2
isPoliticianOf	3
hasWonPrize	4
influences	5
isInterestedIn	6
isMarriedTo	7
directed	8
playsFor	9
owns	10
isLeaderOf	11
isAffiliatedTo	12
happenedIn	13
hasMusicalRole	14
participatedIn	15
actedIn	16
created	17
isLocatedIn	18
isCitizenOf	19
dealsWith	20
imports	21
hasGender	22
wroteMusicFor	23
worksAt	24
edited	25
hasWebsite	26
hasCurrency	27
isKnownFor	28
isConnectedTo	29
hasNeighbor	30
diedIn	31
wasBornIn	32
hasAcademicAdvisor	33
exports	34
livesIn	35
hasCapital	36
